Selecionado;Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;;;
X;Quantitative Imaging Biomarker Ontology (QIBO) for Knowledge Representation of Biomedical Imaging Biomarkers;Journal of Digital Imaging;;26;4;10.1007/s10278-013-9599-2;Andrew J. BucklerM. OuelletteJ. DanagoulianG. WernsingTiffany Ting LiuErica SavigBaris E. SuzekDaniel L. RubinDavid Paik;2013;http://link.springer.com/article/10.1007/s10278-013-9599-2;Article;;;;;;
;ECR 2017 – BOOK OF ABSTRACTS;Insights into Imaging;;8;1;10.1007/s13244-017-0546-5;;2017;http://link.springer.com/article/10.1007/s13244-017-0546-5;Article;;;;;;
;CARS 2020—Computer Assisted Radiology and Surgery Proceedings of the 34th International Congress and Exhibition; Munich; Germany; June 23–27;2020;International Journal of Computer Assisted Radiology and Surgery;;15;1;10.1007/s11548-020-02171-6;;2020;http://link.springer.com/article/10.1007/s11548-020-02171-6;Article;;
;OntoDynS: expediting personalization and diversification in semantic search by facilitating cognitive human interaction through ontology bagging and dynamic ontology alignment;Journal of Ambient Intelligence and Humanized Computing;;14;7;10.1007/s12652-021-03624-9;Gerard DeepakA. Santhanavijayan;2023;http://link.springer.com/article/10.1007/s12652-021-03624-9;Article;;;;;;
X;Ontology for Semantic Data Integration in the Domain of IT Benchmarking;Journal on Data Semantics;;7;1;10.1007/s13740-017-0084-9;Matthias PfaffStefan NeubigHelmut Krcmar;2018;http://link.springer.com/article/10.1007/s13740-017-0084-9;Article;;;;;;
;Orymold: ontology based gene expression data integration and analysis tool applied to rice;BMC Bioinformatics;;10;1;10.1186/1471-2105-10-158;Jaume MercadéAntonio EspinosaJosé-Enrique AdsuaraRosa AdradosJordi SeguraTamara Maes;2009;http://link.springer.com/article/10.1186/1471-2105-10-158;Article;;;;;;
;Introducing semantic variables in mixed distance measures: Impact on hierarchical clustering;Knowledge and Information Systems;;40;3;10.1007/s10115-013-0663-5;Karina GibertAïda VallsMontserrat Batet;2014;http://link.springer.com/article/10.1007/s10115-013-0663-5;Article;;;;;;
;CARS 2018—Computer Assisted Radiology and Surgery Proceedings of the 32nd International Congress and Exhibition Berlin; Germany; June 20–23;2018;International Journal of Computer Assisted Radiology and Surgery;;13;1;10.1007/s11548-018-1766-y;;2018;http://link.springer.com/article/10.1007/s11548-018-1766-y;Article;;;
;BioAssay Ontology (BAO): a semantic description of bioassays and high-throughput screening results;BMC Bioinformatics;;12;1;10.1186/1471-2105-12-257;Ubbo VisserSaminda AbeyruwanUma VempatiRobin P SmithVance LemmonStephan C Schürer;2011;http://link.springer.com/article/10.1186/1471-2105-12-257;Article;;;;;;
X;Evaluating QualiCO: an ontology to facilitate qualitative methods sharing to support open science;Journal of Internet Services and Applications;;12;1;10.1186/s13174-021-00135-w;Julian HockerTaryn BipatDavid W. McDonaldMark Zachry;2021;http://link.springer.com/article/10.1186/s13174-021-00135-w;Article;;;;;;
;Using data-driven sublanguage pattern mining to induce knowledge models: application in medical image reports knowledge representation;BMC Medical Informatics and Decision Making;;18;1;10.1186/s12911-018-0645-3;Yiqing ZhaoNooshin J. FesharakiHongfang LiuJake Luo;2018;http://link.springer.com/article/10.1186/s12911-018-0645-3;Article;;;;;;
;Covid19-IBO: A Covid-19 Impact on Indian Banking Ontology Along with an Efficient Schema Matching Approach;New Generation Computing;;39;03/abr;10.1007/s00354-021-00136-0;Archana PatelNarayan C. DebnathAmbrish Kumar MishraSarika Jain;2021;http://link.springer.com/article/10.1007/s00354-021-00136-0;Article;;;;;;
;Predicting gene ontology annotations of orphan GWAS genes using protein-protein interactions;Algorithms for Molecular Biology;;9;1;10.1186/1748-7188-9-10;Usha KuppuswamySeshan AnanthasubramanianYanli WangNarayanaswamy BalakrishnanMadhavi K Ganapathiraju;2014;http://link.springer.com/article/10.1186/1748-7188-9-10;Article;;;;;;
;A generic framework for semantic video indexing based on visual concepts/contexts detection;Multimedia Tools and Applications;;74;4;10.1007/s11042-014-1955-9;Nizar ElleuchAnis Ben AmmarAdel M. Alimi;2015;http://link.springer.com/article/10.1007/s11042-014-1955-9;Article;;;;;;
;Interpretation of text patterns;Data Mining and Knowledge Discovery;;32;4;10.1007/s10618-018-0556-z;Md Abul BasharYuefeng Li;2018;http://link.springer.com/article/10.1007/s10618-018-0556-z;Article;;;;;;
;A Novel Knowledge Representation Framework for the Statistical Validation of Quantitative Imaging Biomarkers;Journal of Digital Imaging;;26;4;10.1007/s10278-013-9598-3;Andrew J. BucklerDavid PaikMatt OuelletteJovanna DanagoulianGary WernsingBaris E. Suzek;2013;http://link.springer.com/article/10.1007/s10278-013-9598-3;Article;;;;;;
;"A study on video semantics; overview"; challenges; and applications;Multimedia Tools and Applications;;81;5;10.1007/s11042-021-11722-1;Ashish Singh PatelRanjana VyasO. P. VyasMuneendra Ojha;2022;http://link.springer.com/article/10.1007/s11042-021-11722-1;Article;;;;
;Semantic social networks analysis;Social Network Analysis and Mining;;3;1;10.1007/s13278-012-0055-y;Christophe ThovexFrancky Trichet;2013;http://link.springer.com/article/10.1007/s13278-012-0055-y;Article;;;;;;
;Semantic Web enabled digital repositories;International Journal on Digital Libraries;;10;4;10.1007/s00799-010-0059-z;Dimitrios A. KoutsomitropoulosGeorgia D. SolomouAndreas D. AlexopoulosTheodore S. Papatheodorou;2009;http://link.springer.com/article/10.1007/s00799-010-0059-z;Article;;;;;;
;Ontological inference for image and video analysis;Machine Vision and Applications;;17;2;10.1007/s00138-006-0017-3;Christopher Town;2006;http://link.springer.com/article/10.1007/s00138-006-0017-3;Article;;;;;;
;AIGO: Towards a unified framework for the Analysis and the Inter-comparison of GO functional annotations;BMC Bioinformatics;;12;1;10.1186/1471-2105-12-431;Michael Defoin-PlatelMatthew M HindleArtem LysenkoStephen J PowersDimah Z HabashChristopher J RawlingsMansoor Saqi;2011;http://link.springer.com/article/10.1186/1471-2105-12-431;Article;;;;;;
;Analysis of readability and structural accuracy in SNOMED CT;BMC Medical Informatics and Decision Making;;20;10;10.1186/s12911-020-01291-y;Francisco Abad-NavarroManuel Quesada-MartínezAstrid Duque-RamosJesualdo Tomás Fernández-Breis;2020;http://link.springer.com/article/10.1186/s12911-020-01291-y;Article;;;;;;
;A systematic review of annotation for surgical process model analysis in minimally invasive surgery based on video;Surgical Endoscopy;;37;6;10.1007/s00464-023-10041-w;Krystel Nyangoh TimohArnaud HuaulmeKevin ClearyMyra A. ZaheerVincent LavouéDan DonohoPierre Jannin;2023;http://link.springer.com/article/10.1007/s00464-023-10041-w;Article;;;;;;
;ECR 2018 - BOOK OF ABSTRACTS;Insights into Imaging;;9;1;10.1007/s13244-018-0603-8;;2018;http://link.springer.com/article/10.1007/s13244-018-0603-8;Article;;;;;;
;A hybrid human–AI tool for scientometric analysis;Artificial Intelligence Review;;;;10.1007/s10462-023-10548-7;António CorreiaAndrea GroverShoaib JameelDaniel SchneiderPedro AntunesBenjamim Fonseca;2023;http://link.springer.com/article/10.1007/s10462-023-10548-7;Article;;;;;;
;Image selection and annotation for an environmental knowledge base;Language Resources and Evaluation;;50;3;10.1007/s10579-016-9345-8;Arianne ReimerinkPilar León-AraúzPamela Faber;2016;http://link.springer.com/article/10.1007/s10579-016-9345-8;Article;;;;;;
;Towards a semantic indoor trajectory model: application to museum visits;GeoInformatica;;25;2;10.1007/s10707-020-00430-x;Alexandros KontarinisKarine ZeitouniClaudia MarinicaDan VodislavDimitris Kotzinos;2021;http://link.springer.com/article/10.1007/s10707-020-00430-x;Article;;;;;;
;RDF for temporal data management – a survey;Earth Science Informatics;;14;2;10.1007/s12145-021-00574-w;Fu ZhangZhiyin LiDunhong PengJingwei Cheng;2021;http://link.springer.com/article/10.1007/s12145-021-00574-w;Article;;;;;;
;CARS 2021: Computer Assisted Radiology and Surgery Proceedings of the 35th International Congress and Exhibition Munich; Germany; June 21–25;2021;International Journal of Computer Assisted Radiology and Surgery;;16;1;10.1007/s11548-021-02375-4;;2021;http://link.springer.com/article/10.1007/s11548-021-02375-4;Article;;;
;A semantic hybrid approach based on grouping adjacent regions and a combination of multiple descriptors and classifiers for automatic image annotation;Pattern Recognition and Image Analysis;;26;2;10.1134/S1054661816020140;M. OujaouraB. MinaouiM. Fakir;2016;http://link.springer.com/article/10.1134/S1054661816020140;Article;;;;;;
;Modeling and representation of built cultural heritage data using semantic web technologies and building information model;Computational and Mathematical Organization Theory;;25;3;10.1007/s10588-018-09285-y;Salma NoorLubna ShahMohammad AdilNeelam GoharGul E. SamanSehrish JamilFawad Qayum;2019;http://link.springer.com/article/10.1007/s10588-018-09285-y;Article;;;;;;
;Diversicon: Pluggable Lexical Domain Knowledge;Journal on Data Semantics;;8;4;10.1007/s13740-019-00107-1;Gábor BellaFiona McNeillDavid LeoniFrancisco José Quesada RealFausto Giunchiglia;2019;http://link.springer.com/article/10.1007/s13740-019-00107-1;Article;;;;;;
;A systematic review on time-constrained ontology evolution in predictive maintenance;Artificial Intelligence Review;;55;4;10.1007/s10462-021-10079-z;Alda CanitoJuan CorchadoGoreti Marreiros;2022;http://link.springer.com/article/10.1007/s10462-021-10079-z;Article;;;;;;
;CASAM: collaborative human-machine annotation of multimedia;Multimedia Tools and Applications;;70;2;10.1007/s11042-012-1255-1;Robert J. HendleyRussell BealeChris P. BowersChristos GeorgousopoulosCharalampos VassiliouPetridis SergiosRalf MoellerEric KarstensDimitris Spiliotopoulos;2014;http://link.springer.com/article/10.1007/s11042-012-1255-1;Article;;;;;;
;Ecolingua: a Formal ontology for data in ecology;Journal of the Brazilian Computer Society;;11;2;10.1007/BF03192376;Virgínia Brilhante;2005;http://link.springer.com/article/10.1007/BF03192376;Article;;;;;;
;Building a Usable and Accessible Semantic Web Interaction Platform;World Wide Web;;13;01/fev;10.1007/s11280-009-0076-2;Roberto GarcíaJuan Manuel GimenoFerran PerdrixRosa GilMarta OlivaJuan Miguel LópezAfra PascualMontserrat Sendín;2010;http://link.springer.com/article/10.1007/s11280-009-0076-2;Article;;;;;;
;Defining functional distances over Gene Ontology;BMC Bioinformatics;;9;1;10.1186/1471-2105-9-50;Angela del PozoFlorencio PazosAlfonso Valencia;2008;http://link.springer.com/article/10.1186/1471-2105-9-50;Article;;;;;;
;Contested Collective Intelligence: Rationale; Technologies; and a Human-Machine Annotation Study;Computer Supported Cooperative Work (CSCW);;21;04/mai;10.1007/s10606-011-9155-x;Anna De LiddoÁgnes SándorSimon Buckingham Shum;2012;http://link.springer.com/article/10.1007/s10606-011-9155-x;Article;;;;
;Conceptual knowledge-based modeling of interactive 3D content;The Visual Computer;;31;10;10.1007/s00371-014-1011-9;Jakub FlotyńskiKrzysztof Walczak;2015;http://link.springer.com/article/10.1007/s00371-014-1011-9;Article;;;;;;
;A domain-specific decision support system for knowledge discovery using association and text mining;Knowledge and Information Systems;;31;3;10.1007/s10115-011-0409-1;Dnyanesh RajpathakRahul ChougulePulak Bandyopadhyay;2012;http://link.springer.com/article/10.1007/s10115-011-0409-1;Article;;;;;;
;An architecture for the autonomic curation of crowdsourced knowledge;Cluster Computing;;20;3;10.1007/s10586-017-0908-2;Alina PatelliPeter R. LewisAniko EkartHai WangIan NabneyDavid BennettRalph LucasAlex Cole;2017;http://link.springer.com/article/10.1007/s10586-017-0908-2;Article;;;;;;
;A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law;Artificial Intelligence and Law;;20;3;10.1007/s10506-012-9131-x;Trevor Bench-CaponMichał AraszkiewiczKevin AshleyKatie AtkinsonFloris BexFilipe BorgesDaniele BourcierPaul BourgineJack G. ConradEnrico FrancesconiThomas F. GordonGuido GovernatoriJochen L. LeidnerDavid D. LewisRonald P. LouiL. Thorne McCarty;2012;http://link.springer.com/article/10.1007/s10506-012-9131-x;Article;;;;;;
;GenSpecVidOnt: a reference ontology for knowledge based video analytics with multimodal genre detection;Multimedia Tools and Applications;;;;10.1007/s11042-023-15040-6;M. U. SreejaBinsu C. Kovoor;2023;http://link.springer.com/article/10.1007/s11042-023-15040-6;Article;;;;;;
;The Ontology of Biological Attributes (OBA)—computational traits for the life sciences;Mammalian Genome;;;;10.1007/s00335-023-09992-1;Ray StefancsikJames P. BalhoffMeghan A. BalkRobyn L. BallSusan M. BelloAnita R. CaronElissa J. CheslerVinicius de SouzaSarah GehrkeMelissa HaendelLaura W. HarrisNomi L. HarrisArwa IbrahimSebastian KoehlerNicolas MatentzogluJulie A. McMurry;2023;http://link.springer.com/article/10.1007/s00335-023-09992-1;Article;;;;;;
;CovidO: an ontology for COVID-19 metadata;The Journal of Supercomputing;;;;10.1007/s11227-023-05509-4;Sumit SharmaSarika Jain;2023;http://link.springer.com/article/10.1007/s11227-023-05509-4;Article;;;;;;
;27th Annual Conference of the International Society for Quality of Life Research;Quality of Life Research;;29;1;10.1007/s11136-020-02626-y;;2020;http://link.springer.com/article/10.1007/s11136-020-02626-y;Article;;;;;;
;The datAcron Ontology for the Specification of Semantic Trajectories;Journal on Data Semantics;;8;4;10.1007/s13740-019-00108-0;George A. VourosGeorgios M. SantipantakisChristos DoulkeridisAkrivi VlachouGennady AndrienkoNatalia AndrienkoGeorg FuchsJose Manuel Cordero GarciaMiguel Garcia Martinez;2019;http://link.springer.com/article/10.1007/s13740-019-00108-0;Article;;;;;;
;Neuroanatomical domain of the foundational model of anatomy ontology;Journal of Biomedical Semantics;;5;1;10.1186/2041-1480-5-1;B Nolan NicholsJose LV MejinoLandon T DetwilerTrond T NilsenMaryann E MartoneJessica A TurnerDaniel L RubinJames F Brinkley;2014;http://link.springer.com/article/10.1186/2041-1480-5-1;Article;;;;;;
;Knowledge management for systems biology a general and visually driven framework applied to translational medicine;BMC Systems Biology;;5;1;10.1186/1752-0509-5-38;Dieter MaierWenzel KalusMartin WolffSusana G KalkoJosep RocaIgor Marin de MasNil TuranMarta CascanteFrancesco FalcianiMiguel HernandezJordi Villà-FreixaSascha Losko;2011;http://link.springer.com/article/10.1186/1752-0509-5-38;Article;;;;;;
;Evaluating BERT-based scientific relation classifiers for scholarly knowledge graph construction on digital library collections;International Journal on Digital Libraries;;23;2;10.1007/s00799-021-00313-y;Ming JiangJennifer D’SouzaSören AuerJ. Stephen Downie;2022;http://link.springer.com/article/10.1007/s00799-021-00313-y;Article;;;;;;
;Ontology-Based Information Integration: A State-of-the-Art Review in Road Asset Management;Archives of Computational Methods in Engineering;;29;5;10.1007/s11831-021-09668-6;Xiang LeiPeng WuJunxiang ZhuJun Wang;2022;http://link.springer.com/article/10.1007/s11831-021-09668-6;Article;;;;;;
;Ontology of physics for biology: representing physical dependencies as a basis for biological processes;Journal of Biomedical Semantics;;4;1;10.1186/2041-1480-4-41;Daniel L CookMaxwell L NealFred L BooksteinJohn H Gennari;2013;http://link.springer.com/article/10.1186/2041-1480-4-41;Article;;;;;;
;Combining Expression Data and Knowledge Ontology for Gene Clustering and Network Reconstruction;Cognitive Computation;;8;2;10.1007/s12559-015-9349-5;Wei-Po LeeChung-Hsun Lin;2016;http://link.springer.com/article/10.1007/s12559-015-9349-5;Article;;;;;;
;Calling on a million minds for community annotation in WikiProteins;Genome Biology;;9;5;10.1186/gb-2008-9-5-r89;Barend MonsMichael AshburnerChristine ChichesterErik van MulligenMarc WeeberJohan den DunnenGert-Jan van OmmenMark MusenMatthew CockerillHenning HermjakobAlbert MonsAbel PackerRoberto PachecoSuzanna LewisAlfred BerkeleyWilliam Melton;2008;http://link.springer.com/article/10.1186/gb-2008-9-5-r89;Article;;;;;;
;Multimedia tool suite for the visualization of drama heritage metadata;Multimedia Tools and Applications;;75;7;10.1007/s11042-014-2066-3;Vincenzo LombardoAntonio Pizzo;2016;http://link.springer.com/article/10.1007/s11042-014-2066-3;Article;;;;;;
;Answering medical questions in Chinese using automatically mined knowledge and deep neural networks: an end-to-end solution;BMC Bioinformatics;;23;1;10.1186/s12859-022-04658-2;Li ZhangXiaoran YangShijian LiTianyi LiaoGang Pan;2022;http://link.springer.com/article/10.1186/s12859-022-04658-2;Article;;;;;;
;Benchmarking infrastructure for mutation text mining;Journal of Biomedical Semantics;;5;1;10.1186/2041-1480-5-11;Artjom KleinAlexandre RiazanovMatthew M HindleChristopher JO Baker;2014;http://link.springer.com/article/10.1186/2041-1480-5-11;Article;;;;;;
;Semantically interconnected social networks;Social Network Analysis and Mining;;2;1;10.1007/s13278-011-0030-z;Alessandro CucchiarelliFulvio D’AntonioPaola Velardi;2012;http://link.springer.com/article/10.1007/s13278-011-0030-z;Article;;;;;;
;AiCEF: an AI-assisted cyber exercise content generation framework using named entity recognition;International Journal of Information Security;;;;10.1007/s10207-023-00693-z;Alexandros ZacharisConstantinos Patsakis;2023;http://link.springer.com/article/10.1007/s10207-023-00693-z;Article;;;;;;
;Open biomedical pluralism: formalising knowledge about breast cancer phenotypes;Journal of Biomedical Semantics;;3;2;10.1186/2041-1480-3-S2-S3;Aleksandra SojicOliver Kutz;2012;http://link.springer.com/article/10.1186/2041-1480-3-S2-S3;Article;;;;;;
;Geographic knowledge extraction and semantic similarity in OpenStreetMap;Knowledge and Information Systems;;37;1;10.1007/s10115-012-0571-0;Andrea BallatoreMichela BertolottoDavid C. Wilson;2013;http://link.springer.com/article/10.1007/s10115-012-0571-0;Article;;;;;;
;An NLP-based citation reason analysis using CCRO;Scientometrics;;126;6;10.1007/s11192-021-03955-6;Imran IhsanM. Abdul Qadir;2021;http://link.springer.com/article/10.1007/s11192-021-03955-6;Article;;;;;;
X;A qualitative and quantitative analysis of open citations to retracted articles: the Wakefield 1998 et al.'s case;Scientometrics;;126;10;10.1007/s11192-021-04097-5;Ivan HeibiSilvio Peroni;2021;http://link.springer.com/article/10.1007/s11192-021-04097-5;Article;;;;;;
;GOtcha: a new method for prediction of protein function assessed by the annotation of seven genomes;BMC Bioinformatics;;5;1;10.1186/1471-2105-5-178;David MA MartinMatthew BerrimanGeoffrey J Barton;2004;http://link.springer.com/article/10.1186/1471-2105-5-178;Article;;;;;;
;Automatic Expansion of Domain-Specific Affective Models for Web Intelligence Applications;Cognitive Computation;;14;1;10.1007/s12559-021-09839-4;Albert WeichselbraunJakob SteixnerAdrian M.P. BraşoveanuArno ScharlMax GöbelLyndon J. B. Nixon;2022;http://link.springer.com/article/10.1007/s12559-021-09839-4;Article;;;;;;
;Incorporating functional inter-relationships into protein function prediction algorithms;BMC Bioinformatics;;10;1;10.1186/1471-2105-10-142;Gaurav PandeyChad L MyersVipin Kumar;2009;http://link.springer.com/article/10.1186/1471-2105-10-142;Article;;;;;;
;An evaluation of ontology matching in geo-service applications;GeoInformatica;;16;1;10.1007/s10707-011-0125-8;Lorenzino VaccariPavel ShvaikoJuan PanePaolo BesanaMaurizio Marchese;2012;http://link.springer.com/article/10.1007/s10707-011-0125-8;Article;;;;;;
;GeneWalk identifies relevant gene functions for a biological context using network representation learning;Genome Biology;;22;1;10.1186/s13059-021-02264-8;Robert IetswaartBenjamin M. GyoriJohn A. BachmanPeter K. SorgerL. Stirling Churchman;2021;http://link.springer.com/article/10.1186/s13059-021-02264-8;Article;;;;;;
;An Ontology-Based Task-Oriented Dialogue to Create OutSystems Applications;SN Computer Science;;4;1;10.1007/s42979-022-01418-0;João Quirino SilvaDora MeloIrene Pimenta RodriguesJoão Costa SecoCarla FerreiraJoana Parreira;2022;http://link.springer.com/article/10.1007/s42979-022-01418-0;Article;;;;;;
;Using conceptual graphs for clinical guidelines representation and knowledge visualization;Information Systems Frontiers;;16;4;10.1007/s10796-012-9360-2;Bernard Kamsu-FoguemGermaine Tchuenté-FoguemClovis Foguem;2014;http://link.springer.com/article/10.1007/s10796-012-9360-2;Article;;;;;;
;CARS 2017—Computer Assisted Radiology and Surgery Proceedings of the 31st International Congress and Exhibition Barcelona; Spain; June 20–24;2017;International Journal of Computer Assisted Radiology and Surgery;;12;1;10.1007/s11548-017-1588-3;;2017;http://link.springer.com/article/10.1007/s11548-017-1588-3;Article;;;
;A stroll with Carletto: adaptation in drama-based tours with virtual characters;User Modeling and User-Adapted Interaction;;18;5;10.1007/s11257-008-9053-1;Rossana DamianoCristina GenaVincenzo LombardoFabrizio NunnariAntonio Pizzo;2008;http://link.springer.com/article/10.1007/s11257-008-9053-1;Article;;;;;;
;Comparing ontologies and databases: a critical review of lifecycle engineering models in manufacturing;Knowledge and Information Systems;;63;6;10.1007/s10115-021-01558-4;Borja Ramis FerrerWael M. MohammedMussawar AhmadSergii IarovyiJiayi ZhangRobert HarrisonJose Luis Martinez Lastra;2021;http://link.springer.com/article/10.1007/s10115-021-01558-4;Article;;;;;;
;An ontology of virtual humans;The Visual Computer;;23;3;10.1007/s00371-006-0093-4;Mario Gutiérrez A.Alejandra García-RojasDaniel ThalmannFrederic VexoLaurent MoccozetNadia Magnenat-ThalmannMichela MortaraMichela Spagnuolo;2007;http://link.springer.com/article/10.1007/s00371-006-0093-4;Article;;;;;;
;Eleventh national conference on artificial intelligence with international participation (CAI-2008);Scientific and Technical Information Processing;;37;6;10.3103/S0147688210060109;V. L. Stefanuk;2010;http://link.springer.com/article/10.3103/S0147688210060109;Article;;;;;;
;Arabic word sense disambiguation: a review;Artificial Intelligence Review;;52;4;10.1007/s10462-018-9622-6;Bilel Elayeb;2019;http://link.springer.com/article/10.1007/s10462-018-9622-6;Article;;;;;;
;Review on sentiment analysis for text classification techniques from 2010 to 2021;Multimedia Tools and Applications;;82;6;10.1007/s11042-022-14112-3;Arif UllahSundas Naqeeb KhanNazri Mohd Nawi;2023;http://link.springer.com/article/10.1007/s11042-022-14112-3;Article;;;;;;
;PGxO and PGxLOD: a reconciliation of pharmacogenomic knowledge of various provenances; enabling further comparison;BMC Bioinformatics;;20;4;10.1186/s12859-019-2693-9;Pierre MonninJoël LegrandGraziella HussonPatrice RingotAndon TchechmedjievClément JonquetAmedeo NapoliAdrien Coulet;2019;http://link.springer.com/article/10.1186/s12859-019-2693-9;Article;;;;;
;An ontology-based framework for improving color vision deficiency accessibility;Universal Access in the Information Society;;21;3;10.1007/s10209-021-00791-6;Rodrigo BonacinJulio Cesar dos ReisRicardo José de Araujo;2022;http://link.springer.com/article/10.1007/s10209-021-00791-6;Article;;;;;;
;Ontological Approach: Knowledge Representation and Knowledge Extraction;Lobachevskii Journal of Mathematics;;41;10;10.1134/S1995080220100030;O. M. AtaevaV. A. SerebryakovN. P. Tuchkova;2020;http://link.springer.com/article/10.1134/S1995080220100030;Article;;;;;;
;DGH-GO: dissecting the genetic heterogeneity of complex diseases using gene ontology;BMC Bioinformatics;;24;1;10.1186/s12859-023-05290-4;Muhammad AsifHugo F. M. C. MartinianoAndre LamuriasSamina KausarFrancisco M. Couto;2023;http://link.springer.com/article/10.1186/s12859-023-05290-4;Article;;;;;;
;Towards exploratory video search using linked data;Multimedia Tools and Applications;;59;2;10.1007/s11042-011-0733-1;Jörg WaitelonisHarald Sack;2012;http://link.springer.com/article/10.1007/s11042-011-0733-1;Article;;;;;;
;Abstracts;Annals of Behavioral Medicine;;50;1;10.1007/s12160-015-9766-4;;2016;http://link.springer.com/article/10.1007/s12160-015-9766-4;Article;;;;;;
;On determining semantic similarity based on relationships of a combined thesaurus;Automatic Documentation and Mathematical Linguistics;;50;4;10.3103/S0005105516040026;O. L. GolitsynaN. V. MaksimovV. A. Fedorova;2016;http://link.springer.com/article/10.3103/S0005105516040026;Article;;;;;;
;Comparative analysis of knowledge representation and reasoning requirements across a range of life sciences textbooks;Journal of Biomedical Semantics;;5;1;10.1186/2041-1480-5-51;Vinay K ChaudhriDaniel EleniusAndrew GoldenkranzAllison GongMaryann E MartoneWilliam WebbNeil Yorke-Smith;2014;http://link.springer.com/article/10.1186/2041-1480-5-51;Article;;;;;;
;Image metadata reasoning for improved clinical decision support;Network Modeling Analysis in Health Informatics and Bioinformatics;;1;01/fev;10.1007/s13721-012-0003-9;Sonja ZillnerDaniel Sonntag;2012;http://link.springer.com/article/10.1007/s13721-012-0003-9;Article;;;;;;
;An adaptive annotation approach for biomedical entity and relation recognition;Brain Informatics;;3;3;10.1007/s40708-016-0036-4;Seid Muhie YimamChris BiemannLjiljana MajnaricŠefket ŠabanovićAndreas Holzinger;2016;http://link.springer.com/article/10.1007/s40708-016-0036-4;Article;;;;;;
;Personalized video adaptation framework (PIAF): high-level semantic adaptation;Multimedia Tools and Applications;;70;2;10.1007/s11042-012-1225-7;Vanessa El-KhouryDavid CoquilNadia BennaniLionel Brunie;2014;http://link.springer.com/article/10.1007/s11042-012-1225-7;Article;;;;;;
