Column,Attribute,attributeOf,Entity,Unit,Time,Relation,inRelationTo,Label,Role,Value,wasDerivedFrom,wasGeneratedBy
MuscularTension,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
Nervous,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
PhysiologicalSymptoms,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
ShortnessOfBreath,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
Sweating,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
Tremor,refiqda:PhysiologicalSymptoms,??note,,schema:String,,,,,,,,
ClinicalStrategies,refiqda:Treatment,??note,,schema:String,,,,,,,,
CopingStrategies,refiqda:Treatment,??note,,schema:String,,,,,,,,
CopingWithStress,refiqda:Treatment,??note,,schema:String,,,,,,,,
Desensitization,refiqda:Treatment,??note,,schema:String,,,,,,,,
EvidenceAnalysis,refiqda:Treatment,??note,,schema:String,,,,,,,,
ExposureTechniques,refiqda:Treatment,??note,,schema:String,,,,,,,,
Psychoeducation,refiqda:Treatment,??note,,schema:String,,,,,,,,
RecordingDysfunctionalThoughts,refiqda:Treatment,??note,,schema:String,,,,,,,,
RelaxationTechniques.,refiqda:Treatment,??note,,schema:String,,,,,,,,
Self-Instruction,refiqda:Treatment,??note,,schema:String,,,,,,,,
SocraticQuestioning,refiqda:Treatment,??note,,schema:String,,,,,,,,
SystematicDesensitization,refiqda:Treatment,??note,,schema:String,,,,,,,,
ThoughtStop,refiqda:Treatment,??note,,schema:String,,,,,,,,
Thought-stoppingAndSelf-instruction,refiqda:Treatment,??note,,schema:String,,,,,,,,
PositiveSignsOfEngagementProcess,refiqda:CognitiveAspect,??note,,schema:String,,,,,,,,
??case,,,sio:Human,,,refiqda:appliesTo,??project,,,,,
??project,,,refiqda:Project,,,refiqda:contains,??case,,,,,
??note,,,refiqda:Note,,,,,,,,,
??project,,,refiqda:Project,,,refiqda:contains,??note,,,,,
